Id,Label,ns:computer.programming_language.introduced
ns:m.049b0_,WATFIV,
ns:m.04_6bg9,Alpha,
ns:m.04b9q6,Perl 6,2000
ns:m.04bd1c,Boo,2003
ns:m.04bkds,ALGO,
ns:m.04bq33,Hugo,
ns:m.04c_c,KL0,
ns:m.04cvblj,LYaPAS,
ns:m.04cz5,KISS,
ns:m.04d12,KL-ONE,
ns:m.04d5t6,FOCAL,
ns:m.04d88,Kent Recursive Calculator,1981
ns:m.04d8z,KRL,1976
ns:m.04dxh8,IronPython,
ns:m.04dy1h,ELAN,1974
ns:m.04f07kc,XPL0,
ns:m.04f41y,CMS-2,1968
ns:m.04f62sk,Net.Data,
ns:m.04g1zgl,JFugue,
ns:m.04g2qjv,Q,2003
ns:m.04gnjjy,chomski,2007
ns:m.04grg7w,Python for S60,2006
ns:m.04gtd0w,SCAR programming language,2003
ns:m.04h4mm,EGL,2005
ns:m.04h5hy,IBM HAScript,
ns:m.04j9q4g,SAS language,
ns:m.04jd4mk,PGF/TikZ,
ns:m.04jfk1r,Fantom,2007
ns:m.04jmsgx,MVEL,
ns:m.04kn35,SKI combinator calculus,
ns:m.04kyw,Lisp,1958
ns:m.04kzq5,Pipeline,
ns:m.04lclb0,Turtle Talk,
ns:m.04ldrth,Objective-J,2008
ns:m.04lgm_f,NS Basic,
ns:m.04lj88t,PLEXIL,2005
ns:m.04m75m,Maude system,
ns:m.04m_ztl,DECLAN Pro,2008
ns:m.04mg4,Lambda calculus,
ns:m.04n7j8q,M,2008
ns:m.04n8q,Logo,1967
ns:m.04p4mh,Action!,
ns:m.04ppx,Lynx,
ns:m.04pxck,MLton,
ns:m.04pzdj,F,
ns:m.04q2br,Esterel,
ns:m.04q84w1,ATS,
ns:m.04qxmx,SASL,1972
ns:m.04shbz,Model 204,
ns:m.04t28l,PFXplus,
ns:m.04tg37,Parakeet,
ns:m.04w43s,Object REXX,
ns:m.04wyyl,Charity,1992
ns:m.04xdsc,KiXtart,
ns:m.04xw5j,E,1997
ns:m.04y7x16,Scieneer Common Lisp,
ns:m.04ybtsc,Ioke,2008-11-06
ns:m.04ycw5z,Reia,2008
ns:m.04ycygx,PointDragon,
ns:m.04yf9ks,Kaya,2004
ns:m.04ygytb,Microsoft Small Basic,2008-10-01
ns:m.04zk4yc,eZ Template language,
ns:m.04zs6,MUMPS,1966
ns:m.04zsm,Mercury,1995-04-08
ns:m.04zwp_z,FACT,1959
ns:m.04zzxjs,Pure,
ns:m.0508gj,C--,1997
ns:m.050f_,Mesa,
ns:m.051624,Karel,1981
ns:m.051bn,Microassembler,
ns:m.051kvfb,Lilith programming language,
ns:m.051rmx5,Pop,
ns:m.051rpm_,Digital Standard MUMPS,
ns:m.0521mgd,Scriptol,
ns:m.0521z,MOO,1990
ns:m.052vqr6,Parlog,
ns:m.053_x,MATLAB,
ns:m.053dv,Mary,
ns:m.054k6n_,Sass,2007
ns:m.0555r6,Lucid,1976
ns:m.055mc,ML,1973
ns:m.057fd,Modula,
ns:m.05967y,PL/pgSQL,
ns:m.059xl9,DG scripts,
ns:m.05_y29,CAL,
ns:m.05b4196,Boomerang,2008
ns:m.05b4hst,Active Oberon,
ns:m.05b93m,TACL,
ns:m.05b9cr,Transaction Application Language,
ns:m.05bkhn,FILECOMP,
ns:m.05bq496,Raven,
ns:m.05bq49g,Enchilada,
ns:m.05bq49v,Staapl,
ns:m.05bw2b,BeanShell,1999
ns:m.05bzv69,Ambi,2009
ns:m.05c336c,Bertrand,
ns:m.05c3tx3,Lightweight Java,
ns:m.05c414v,Cryptol,
ns:m.05c586,STRINGCOMP,
ns:m.05c5dj,Strongtalk,
ns:m.05cntt,JSON,2002
ns:m.05dts,Nial,1981
ns:m.05dwhk,Modelling of General Systems,
ns:m.05f_x0,LOOM,
ns:m.05fxv0,IPTSCRAE,
ns:m.05gb7t,AMPL,1985
ns:m.05gv1_,xHarbour,
ns:m.05h5g7,Autocode,
ns:m.05hl_8,Dartmouth ALGOL 30,
ns:m.05hn2y,SubL,
ns:m.05hp2y,Span,
ns:m.05hwnf,Moby,
ns:m.05jj59,Converge,
ns:m.05kl94h,Befunge97,
ns:m.05kl94q,Befunge93,
ns:m.05l1s8,PBASIC,
ns:m.05mrv,Oberon,1986
ns:m.05mxmzj,Falcon,2003
ns:m.05nn80,Maya Embedded Language,
ns:m.05nrws,Moto programming language,
ns:m.05p0d,occam,1983
ns:m.05p4tb2,GOAL agent programming language,
ns:m.05p8z6f,GScript,
ns:m.05pxcv,CobolScript,
ns:m.05q31,Objective-C,1986
ns:m.05q4vfd,Smith,
ns:m.05q5900,Simgua,
ns:m.05qxnz,TACPOL,
ns:m.05rlf_,Microsoft Pascal,
ns:m.05s50p,PWB shell,
ns:m.05sfxb,Visual Prolog,
ns:m.05t0ys2,JEAN,
ns:m.05tthtg,Corba IDL,
ns:m.05vfz1,DAML+OIL,
ns:m.05vpz,Prolog,1972
ns:m.05wgtq,Use,
ns:m.05xjv,PL/I,1964
ns:m.05xx0y,IEC 61131-3,
ns:m.05yl8k,SMALL,
ns:m.05z1_,Python,1991
ns:m.05z2qq4,UNICON,2002
ns:m.05z2qqf,ICON,
ns:m.05z3dws,tiscript,2007
ns:m.05zp9j,Fortress,
ns:m.05zrn,Perl,1987
ns:m.05ztn31,Axum,2009
ns:m.05zx8sy,AgentSpeak,1996
ns:m.06016,PostScript,1982
ns:m.0609p,PL/SQL,
ns:m.060cw1,SIMCOS,
ns:m.060kv,PHP,1995
ns:m.061mwg,ARexx,
ns:m.061wdk,Autocoder,
ns:m.062bml,Loco,
ns:m.063_0dp,QASL,
ns:m.063_3xr,Babbage,
ns:m.063cr,Page description language,
ns:m.063h0s,Harbour,1999
ns:m.063yy4c,CLACL,2000
ns:m.064011l,Whizbase,
ns:m.0641x3,Standard ML of New Jersey,
ns:m.06426by,Tiscript,
ns:m.0642ddz,Universal Systems Language,
ns:m.065mn7,Redcode,
ns:m.0671rd,Atari ST BASIC,
ns:m.0672c1,X10,2004
ns:m.0674cj,Epigram,2004
ns:m.06782b,Java bytecode,
ns:m.067916,Alef,1992
ns:m.067dmx,Opal,
ns:m.068fcp,Dependent ML,
ns:m.068yg4,C++/CLI,
ns:m.0694c5,PL/P,
ns:m.0697xz,Visual J++,
ns:m.069g7,QuakeC,1996
ns:m.069gh5,newLISP,1991
ns:m.069sx3,Ease,1990
ns:m.06_843,SQL-92,
ns:m.06_b3c,Leda,
ns:m.06_s5g,Query by Example,
ns:m.06bf5y,Chinese BASIC,
ns:m.06bm1_,Mortran,
ns:m.06bt54,Lava,
ns:m.06ds0_,Stackless Python,
ns:m.06ff5,Ruby,1995
ns:m.06g3m,Rexx,1979
ns:m.06hd03,thinBasic,
ns:m.06hrzx,Cleverpath AION Business Rules Expert,
ns:m.06hsy8,Suneido programming language,
ns:m.06j4lb,Twelf,
ns:m.06krns,occam-π,
ns:m.06kw5,Rebol,1997
ns:m.06l17z,Lazarus,
ns:m.06mmmy,Ferite,2000
ns:m.06mtb6,ZetaLisp,
ns:m.06n6zl,*Lisp,1986
ns:m.06qcc5,Camlp4,
ns:m.06rm6,sed,
ns:m.06svrt,SAC programming language,1994
ns:m.06vchh,Subtext,
ns:m.06vd5x,CODE,
ns:m.06w85k,Lustre,
ns:m.06w8g1,Averest,
ns:m.06xcy4,Join Java,
ns:m.06xwl0,SMX,
ns:m.06xydr,MicroScript programming language,
ns:m.06xz99,SyncCharts,
ns:m.06yljz,Stagecast Creator,
ns:m.06yp6q,Caché ObjectScript,1997
ns:m.06yylr,Versus programming language,
ns:m.06z3b2,Yoix,2000
ns:m.06zgrq,Apache Rivet,
ns:m.06zql6g,Basic4ppc,2005
ns:m.06zrb,Scheme,1975
ns:m.0705zy,ProvideX,1992
ns:m.070d2,Smalltalk,
ns:m.070m83,AutoIt,
ns:m.070qh1,Agilent VEE,
ns:m.070s08,Compact Application Solution Language,
ns:m.071hh5,Sleep programming language,2002
ns:m.0729m2,Bistro,1999
ns:m.0738wt,Linoleum,
ns:m.073c35,Mozart Programming System,
ns:m.073yv,Sather,1990
ns:m.074fpl,Indus programming language,
ns:m.075465,Bigwig,
ns:m.0755kv,Winbatch,
ns:m.0759wq,SALSA,
ns:m.075st,SQL,1974
ns:m.07657k,C#,2000
ns:m.076kx1,Caml,1985
ns:m.076t4y,XACML,
ns:m.079l6,Simula,1967
ns:m.079lq,SNOBOL,1962
ns:m.079ydj,Embedded C++,
ns:m.07_n5r,Laning and Zierler system,
ns:m.07b5tc,JAL,
ns:m.07dh_,TeX,
ns:m.07fbbc,Algae programming language,
ns:m.07fw2,Tcl,1988
ns:m.07gd73,Objective Modula-2,
ns:m.07gjz6,Tcl/Java,
ns:m.07k808l,Hermes,
ns:m.07kyjn,MacroML,
ns:m.07lqnv,PL/Perl,
ns:m.07lwvb,SystemVerilog,
ns:m.07mrdw,Prova,
ns:m.07n77,Turing,1982
ns:m.07pjtq,StepTalk,
ns:m.07qb7,True BASIC,
ns:m.07qsk2,ARLOGO,
ns:m.07r0pw,PEARL,
ns:m.07s3k3v,Office Open XML,
ns:m.07sbkfb,Java,1995
ns:m.07twnp,Job entry control language,
ns:m.07vj7,UCSD Pascal,
ns:m.07wm9v,FORMAC,
ns:m.07x3g,Unified Modeling Language,
ns:m.080l1,VBScript,1996
ns:m.080ycj,Croma,2005
ns:m.081j1j,PS-Algol,
ns:m.082dky,Limnor,
ns:m.082tzd,Alphard,
ns:m.0839cc,COMSOL Script,
ns:m.083g1v,Zonnon,
ns:m.084pb2,Squirrel,2003
ns:m.085r0y,Cesil,
ns:m.0872gs,XL,2000
ns:m.08745,XML,
ns:m.0876r1,FL,1989
ns:m.0879f,XHTML,
ns:m.0879y,XSL,
ns:m.087l8,XSLT,1998
ns:m.089pf,Z notation,
ns:m.08_phg,Pascal/MT+,
ns:m.08_qbf,Prospero Pascal,
ns:m.08_qp2,GNU Pascal,
ns:m.08bnzs,Uniface,
ns:m.08c2r2,Fril,1980
ns:m.08c73m,Ana,
ns:m.08czsn,XBase++,
ns:m.08f3sg,Language Integrated Query,
ns:m.08fqzc,Ch,
ns:m.08gsgd,rex,
ns:m.08hhn7,Petriscript,
ns:m.08j11c,Magik,
ns:m.08jcqx,"\""A♯ (Axiom)\""",
ns:m.08jcr7,A#,
ns:m.08k27x,NGL,
ns:m.08mnz,20-GATE,
ns:m.08mp9,2.PAK,
ns:m.08n_r2,Phrogram,
ns:m.08pndh,Sing#,2005
ns:m.08pv_0,D,
ns:m.08pytf,Spec#,2004
ns:m.08qk5_8,Paris,
ns:m.08rz8,473L Query,
ns:m.08rzm,51-FORTH,
ns:m.08td3z,Collaborative human interpreter,
ns:m.08vxp3,Lagoona,
ns:m.08xs3h,Macaulay2,
ns:m.08yy56,ColdC,1993
ns:m.08zj8j,Snit,
ns:m.090b_z,Fjölnir,
ns:m.090jt4,Programming Computable Functions,
ns:m.090w4r,Brown University Interactive Language,
ns:m.091hdj,Scala,2003
ns:m.092_gr,Spice programming language,
ns:m.0932gx,TUTOR,1969
ns:m.0944vn,IpTables Rope,
ns:m.094j4d,Onyx,
ns:m.096j51,Little Smalltalk,
ns:m.0974fb,Racket,1994
ns:m.097l96,MIIS,
ns:m.098bg2,OmniMark,
ns:m.099c1,Varuq,
ns:m.09bhx,Squeak,1996
ns:m.09bss7,Grammar-oriented programming,
ns:m.09c3bc,Tea,
ns:m.09d68r,IMTEK Mathematica Supplement,
ns:m.09f4b_,Asymptote,
ns:m.09f7qd,Dexterity programming language,
ns:m.09fj2k,Nyquist,
ns:m.09gbxjr,Go,2009-11-10
ns:m.09gdqsb,Newsqueak,
ns:m.09gjwxg,SuperPascal,1993
ns:m.09hbnw,FLACC,
ns:m.09hf4d,BBN LISP,
ns:m.09jsd,Turbo Pascal,
ns:m.09k75js,Genie,2008
ns:m.09kns0,VisSim,1989
ns:m.09l7xc,AlphaBasic,
ns:m.09n88y,ApeScript,
ns:m.09q0wb,Advanced Continuous Simulation Language,
ns:m.09sj9r,BitC,
ns:m.09tp36,APT,
ns:m.09trtv,Abundance,1981
ns:m.09wm62,AIMMS,1993
ns:m.09y8k4,Kid,
ns:m.0_1m8mq,ELI,2011
ns:m.0_82v0s,LFE,2008
ns:m.0_ftxsq,WLanguage,
ns:m.0_l9rcz,LiveScript,2011
ns:m.0_lcrx4,Kotlin,
ns:m.0_lmkkm,Pastel,1982
ns:m.0_r__7z,Enchanting,
ns:m.0_s19g9,Jaql,
ns:m.0b04x,Parser,
ns:m.0b0tf_,CHIP,
ns:m.0b1wj0,JavaScript syntax,
ns:m.0b2f3h,L# .NET,
ns:m.0b4hsb,JoCaml,
ns:m.0b4rvq,SAM76,
ns:m.0b79zw,Caml Light,
ns:m.0b_pm5,Micronetics Standard MUMPS,
ns:m.0bbtm17,ALGOL 60,1960
ns:m.0bc97w,FCode,
ns:m.0bcr5c,MIMIC,
ns:m.0bfn7f,Janus,1990
ns:m.0bfq5w,Etoys,1996
ns:m.0bfvjd,Moscow ML,
ns:m.0bgj_v,ToonTalk,1995
ns:m.0bgnn8,Nickle,2001
ns:m.0bgsgk,Apple Media Tool,
ns:m.0bh1q5,Identity transform,
ns:m.0bkkb,Incr Tcl,
ns:m.0bm90n,EuLisp,
ns:m.0bmhrl1,Dworkin's Game Driver,
ns:m.0bp8q,Curl,1998
ns:m.0bpd02,Simkin,
ns:m.0bq66qs,Microsoft .NET,
ns:m.0brz3l,Portable Standard Lisp,
ns:m.0bs2s4,Alice ML,2000
ns:m.0bsb33,Oxygene,
ns:m.0bsdfv,Eager Haskell,
ns:m.0bss63,Karel++,
ns:m.0bt9xm,Ubercode,
ns:m.0bv81n,Fabrik,
ns:m.0bv8f9,ThingLab,
ns:m.0bvh22,COMTRAN,1957
ns:m.0bw_9z,IBM Basic assembly language and successors,
ns:m.0bwl4s,PowerHouse,
ns:m.0bwsp,VHDL,
ns:m.0bxmp4,OpenMusic,
ns:m.0bxzs64,Joyce,1987
ns:m.0by78w,Analytica,
ns:m.0by8xd,Mudlle,1998
ns:m.0c00_c,Bigloo,
ns:m.0c05w7,Kaleidoscope,
ns:m.0c0tby,Geometric Description Language,
ns:m.0c1_l,Metafont,
ns:m.0c1j66,Lapis,
ns:m.0c1q5k,ZOPL,
ns:m.0c1r9r,Agda,2007
ns:m.0c320f,SLIP,
ns:m.0c3wj7j,Argus,1982
ns:m.0c5d9p,O-Matrix,
ns:m.0c5pqg,MapBasic,
ns:m.0c7hj2,FAUST,
ns:m.0c_hm1,Python 3,
ns:m.0c_knm,SYMPL,
ns:m.0cd0_2,MIDletPascal,
ns:m.0cdph,Visual DialogScript,
ns:m.0cght6,ATLAS Transformation Language,
ns:m.0cgkpd,QVT,
ns:m.0cglf,Common Intermediate Language,
ns:m.0cgpfs,Object Query Language,
ns:m.0cgrqt5,ARM assembly language,
ns:m.0chn2,Planner,1969
ns:m.0chpd,Lua,1993
ns:m.0cjbf1,S-algol,
ns:m.0cjt0w,Model transformation,
ns:m.0ck33d,XSB,
ns:m.0ck3wr,λProlog,
ns:m.0ckh_r,Significantly Prettier and Easier C++ Syntax,
ns:m.0ckv51,Little b,2004
ns:m.0clhh3,BASICODE,
ns:m.0cm55,AIML,
ns:m.0cm999h,Qt Quick,
ns:m.0cmlzg,Model transformation language,
ns:m.0cmnnv,GReAT,
ns:m.0crht4,ALCOR,
ns:m.0crk0d,Glagol,
ns:m.0csw7l,CorVision,
ns:m.0cvc9,Maclisp,
ns:m.0cvcp,Lisp Machine Lisp,
ns:m.0cyxmz,Game Oriented Assembly Lisp,
ns:m.0cyycx,Symbolic Sound Corporation,
ns:m.0cz9tkr,Objeck,2008
ns:m.0czfwr,Polymorphic Programming Language,
ns:m.0d06y,GNU Octave,
ns:m.0d1j8,SIMSCRIPT II.5,
ns:m.0d1w0w,PLANC,
ns:m.0d3zqj,P#,2003
ns:m.0d4x4t,SQL:2003,
ns:m.0d6slq,RunRev,
ns:m.0d7s6q,Variable Assembly Language,
ns:m.0d8zvc,3APL,
ns:m.0d99vn,xTalk,
ns:m.0d99z3,SuperTalk,
ns:m.0d_8qw,Flow-based programming,
ns:m.0d_rd,Befunge,
ns:m.0dbjtf,Haxe,2005
ns:m.0dbqww,PAL,
ns:m.0dc4km,Short Code,
ns:m.0dfg2,Pliant,
ns:m.0dg6b3,Operational Control Language,
ns:m.0dg7746,Smallfuck,
ns:m.0dg7773,Paintfuck,
ns:m.0dg778l,Arrow,
ns:m.0dg77c_,SMETANA,
ns:m.0dg9lh5,ELENA,2006-06-14
ns:m.0dg9lhl,Alex Rakov,
ns:m.0dgcxwt,Argh!,
ns:m.0dgcy04,Aura,
ns:m.0dgns29,Cornell University Programming Language,
ns:m.0dhl03,Abstract State Machine Language,
ns:m.0dj5cj,Sigmac,
ns:m.0dj69f,AIS Balise,
ns:m.0djtnc,PROC procedure language,
ns:m.0dk05j,PerlScript,
ns:m.0dk45d,Join-calculus,
ns:m.0dktz,AutoLISP,
ns:m.0dndhc,Split-C,
ns:m.0ds703q,FPr,
ns:m.0dsbpg6,Rust,2010
ns:m.0dt1b6,Bsisith,
ns:m.0dw0c9,Microsoft Visual C#,
ns:m.0dws8h,BEFLIX,
ns:m.0dwsjd,Web Language,
ns:m.0dxpcw,Algebraic Interpretive Dialogue,
ns:m.0dzjl,Liberty BASIC,1992
ns:m.0f1qvd,Dao Language,2006
ns:m.0f2l04,Napier88,
ns:m.0f2q1,DARPA Agent Markup Language,
ns:m.0fbzc1,JADE,
ns:m.0ffx3,MAD,1959
ns:m.0fkk97,Cobra,
ns:m.0fl1pc,DAML-S,
ns:m.0fl2d,BBC BASIC,1981
ns:m.0fmt2h,NATURAL,
ns:m.0fp_1y,Visual Basic,
ns:m.0fpgc8s,Fancy,2010
ns:m.0fpp07_,TextUML-Syntax,
ns:m.0fqrgs4,Basic4android,
ns:m.0fs0gv,FARGO,
ns:m.0fs3t,PILOT,
ns:m.0fs5n,SISAL,1983
ns:m.0fv0dw,BasicX,
ns:m.0fxfsc,Kyma,
ns:m.0fzf3d,COFFEE,
ns:m.0g172n,Hume,
ns:m.0g341_,Y programming language,
ns:m.0g54wq,NEWP,
ns:m.0g6kp3,Deesel,
ns:m.0g90qh,Cayenne,
ns:m.0gb_wh,Lisaac,2003
ns:m.0gc3z,HPGL,
ns:m.0gd42,Self,1987
ns:m.0gdtn,A-0 System,
ns:m.0gdxd,ARITH-MATIC,
ns:m.0gdxqx,Speedcoding,1953
ns:m.0gf4q,Abbreviated Test Language for All Systems,
ns:m.0gf51,ABC ALGOL,
ns:m.0gf5d,ABCL/1,
ns:m.0gf5s,ABCL/c+,
ns:m.0gf6g,ABCL/R,
ns:m.0gf6t,ABCL/R2,
ns:m.0gfwm,NewtonScript,1993
ns:m.0ggc1vz,Delphi,
ns:m.0ggn7,PureBasic,2000
ns:m.0gh50t7,Alpoca,2011
ns:m.0ghmfk,Cadence SKILL,1990
ns:m.0gjd0jv,Less,2009
ns:m.0glqmc6,Ciao,1984
ns:m.0glrmdf,Ceylon,
ns:m.0gm1m2,Pict,
ns:m.0gmljm,LANSA,
ns:m.0gmz9,ObjectPAL,
ns:m.0gnckq,Chapel,
ns:m.0gtcqz,SCOOP,
ns:m.0gtvyj,RDF query language,
ns:m.0gy1vx_,Opa,2011
ns:m.0gyz66,Iota and Jot,
ns:m.0gzl9z,ISLISP,
ns:m.0gzx5x,AgentSheets,1991
ns:m.0h0wtq,TXL,
ns:m.0h22q,QuickBASIC,
ns:m.0h3vb,Verilog,
ns:m.0h4ym_,SketchUp Ruby,
ns:m.0h52xr1,Dart,
ns:m.0h6g8,PowerBASIC,
ns:m.0h6g_,IBM BASIC,1981
ns:m.0h9wb,Poplog,
ns:m.0hgnb,Plankalkül,
ns:m.0hjc5m0,CoffeeScript,2009-12-13
ns:m.0hjlb4k,MoonScript,2011-05-16
ns:m.0hmvnmb,Programming Syntax,
ns:m.0hnc442,Qore,
ns:m.0j3djl7,Julia,2012
ns:m.0j7njq_,Little Implementation Language,
ns:m.0j_9brh,SGML,
ns:m.0jfjdbl,Scilab,
ns:m.0jgqg,C++,1983
ns:m.0jp72,J,1990
ns:m.0jwqb,Hardware description language,
ns:m.0k04hrk,Micro-Planner,
ns:m.0k0wc,Abstract machine notation,
ns:m.0kf72,HyperTalk,
ns:m.0knvs5v,ParaSail,2009
ns:m.0kzb_,Modula-2,1978
ns:m.0l6nk,FLOW-MATIC,1955
ns:m.0lm5j,Abstract-Type and Scheme-Definition Language,
ns:m.0lmcc,Accent,1990
ns:m.0lnrh5r,PL/Ruby,
ns:m.0lnrh5y,PL/sh,
ns:m.0lnrh69,PL/Proxy,
ns:m.0lnrh6h,PL/LOLCODE,
ns:m.0lnrh6p,PL/Java,
ns:m.0lnrh6y,PL/Parrot,
ns:m.0lnrh73,PL/Lua,
ns:m.0lnrh79,PL/PHP,
ns:m.0lnrh7h,PL/R,
ns:m.0lnrh7p,PL/PSM,
ns:m.0lnrh7w,PL/Python,
ns:m.0lnrh81,PL/JS,
ns:m.0lnrh87,PL/Scheme,
ns:m.0lxk7,Pike,1994
ns:m.0lyyk,CycL,
ns:m.0lzc2,Krypton,
ns:m.0m4ps,AppleScript,1993
ns:m.0m_lh,IBM 1620,
ns:m.0n3xv,Miranda,1985
ns:m.0n6y,Ada,1980
ns:m.0nd8d,COWSEL,
ns:m.0p8cb,Magma,
ns:m.0p8g,Assembly language,
ns:m.0pcmclv,TTM,1968
ns:m.0pkgc,Standard ML,
ns:m.0pl075p,Elixir,2011
ns:m.0py1hbn,Stylus,2010
ns:m.0q1x,ALGOL,1958
ns:m.0q2c,AWK,1977
ns:m.0ql079r,F*,
ns:m.0qscfl7,SPL,2007
ns:m.0r4j3bf,ooc,
ns:m.0s8y59_,Flex,
ns:m.0swpzmh,Idris,
ns:m.0t3_0,Absys,1967
ns:m.0t3jl,ABLE,
ns:m.0t3r3,ABSET,
ns:m.0t43v,Amiga E,
ns:m.0v3d_v0,Hopscotch,
ns:m.0vgmh,UnrealScript,1998
ns:m.0vpk27_,Nimrod,2008
ns:m.0vsh31n,DAG,2013-04-13
ns:m.0vshxf6,BAIL,2013
ns:m.0vztqsk,Xojo,
ns:m.0w7msm6,Tritium,
ns:m.0w_19hd,Ya,2012
ns:m.0wf0b1d,Fountain,
ns:m.0wrd,Applesoft BASIC,
ns:m.0wxwn0b,Wolfram Language,
ns:m.0wyh6j2,Ela,
ns:m.0wyrdhm,Nemo,2012
ns:m.0x1xg32,Dolittle,
ns:m.0x21wvz,Potion,2007
ns:m.0y51kqp,Nock,2013
ns:m.0y51ypv,Hoon,
ns:m.0zbv24y,Acumen,
ns:m.0zc0qfm,P*,2013
ns:m.0zn0wgg,DoTS,
